,GAME_INFO,LOCATION,TEAM1_NAME,TEAM1_SCORE,TEAM2_NAME,TEAM2_SCORE
1,2015-06-27 18:00:00,, Rochester Dragons,10, Toronto Rush,27
2,2015-06-27 16:00:00,, Chicago Union,21, Detroit Mechanix,11
3,2015-06-22 18:30:00,, Montreal Royal,23, Rochester Dragons,17
4,2015-06-21 16:30:00,, Vancouver Riptide,20, LA Aviators,27
5,2015-06-21 16:00:00,, Seattle Cascades,21, San Francisco FlameThrowers,25
6,2015-06-21 15:00:00,, Montreal Royal,24, Rochester Dragons,21
7,2015-06-21 14:00:00,, DC Breeze,13, New York Empire,21
8,2015-06-20 22:00:00,, Seattle Cascades,28, San Jose Spiders,35
9,2015-06-20 19:30:00,, Pittsburgh Thunderbirds,25, Cincinnati Revolution,19
0,2014-07-19 20:00:00,, Chicago Union,17, New York Empire,22
1,2014-07-19 20:00:00,, DC Breeze,12, Toronto Rush,37
2,2014-07-19 20:00:00,, Indianapolis AlleyCats,16, Madison Radicals,25
3,2014-07-18 20:00:00,, San Francisco FlameThrowers,16, San Jose Spiders,26
4,2014-07-13 20:00:00,, Indianapolis AlleyCats,15, Minnesota Wind Chill,25
5,2014-07-12 20:00:00,, Vancouver Riptide,21, Seattle Cascades,18
6,2014-07-12 20:00:00,, DC Breeze,14, New York Empire,13
7,2014-07-12 20:00:00,, San Jose Spiders,23, San Francisco FlameThrowers,17
8,2014-07-12 20:00:00,, Toronto Rush,24, Philadelphia Phoenix,18
9,2014-07-06 20:00:00,, DC Breeze,25, Philadelphia Phoenix,20
0,2013-07-05 21:00:00,, Minnesota Wind Chill,13, Chicago Union,28
1,2013-06-30 17:00:00,, Madison Radicals,29, Detroit Mechanix,22
2,2013-06-30 15:00:00,, Toronto Rush,26, Rochester Dragons,20
3,2013-06-30 14:00:00,, New Jersey Hammerheads,17, Philadelphia Phoenix,20
4,2013-06-29 20:30:00,, Detroit Mechanix,17, Indianapolis AlleyCats,24
5,2013-06-29 20:00:00,, Cincinnati Revolution,24, Minnesota Wind Chill,35
6,2013-06-29 20:00:00,, Madison Radicals,15, Chicago Union,13
7,2013-06-29 17:00:00,, Rochester Dragons,18, Toronto Rush,28
8,2013-06-29 16:00:00,, New Jersey Hammerheads,9, New York Empire,22
9,2013-06-29 14:00:00,, Philadelphia Phoenix,23, DC Breeze,21
0,2019-06-28 20:00:00,Breese Stevens Field, Chicago Union,21, Madison Radicals,18
1,2019-06-23 14:00:00,MNP Park Stadium, Toronto Rush,22, Ottawa Outlaws,17
2,2019-06-23 14:00:00,Rudolph Gamblin Field, Tampa Bay Cannons,14, Austin Sol,23
3,2019-06-22 22:00:00,Foothill College Stadium, LA Aviators,31, San Jose Spiders,27
4,2019-06-22 21:00:00,Seattle Memorial Stadium, San Diego Growlers,30, Seattle Cascades,25
5,2019-06-22 20:00:00,John Paul II High School, Tampa Bay Cannons,22, Dallas Legion,29
6,2019-06-22 19:00:00,Grand Park, Minnesota Wind Chill,23, Indianapolis AlleyCats,24
7,2019-06-22 19:00:00,WakeMed Soccer Park, New York Empire,25, Raleigh Flyers,24
8,2019-06-22 18:00:00,JC Stone Field, Madison Radicals,20, Pittsburgh Thunderbirds,21
9,2019-06-22 18:00:00,Complexe Sportif Claude-Robillard, Toronto Rush,22, Montreal Royal,23
0,2015-06-20 21:00:00,, Vancouver Riptide,28, San Diego Growlers,32
1,2015-06-20 19:00:00,, Raleigh Flyers,24, Charlotte Express,21
2,2015-06-20 19:00:00,, Chicago Union,16, Madison Radicals,24
3,2015-06-20 18:30:00,, New York Empire,8, DC Breeze,7
4,2015-06-20 18:00:00,, Atlanta Hustle,27, Jacksonville Cannons,29
5,2015-06-20 18:00:00,, Montreal Royal,18, Toronto Rush,24
6,2015-06-19 20:00:00,, Madison Radicals,23, Chicago Union,22
7,2015-06-14 15:00:00,, Jacksonville Cannons,28, Raleigh Flyers,26
8,2015-06-14 15:00:00,, Philadelphia Phoenix,18, Rochester Dragons,19
9,2015-06-14 15:00:00,, Atlanta Hustle,25, Nashville Nightwatch,21
0,2014-07-05 20:00:00,, Montreal Royal,20, Toronto Rush,19
1,2014-07-05 20:00:00,, Rochester Dragons,23, Philadelphia Phoenix,28
2,2014-07-05 20:00:00,, New York Empire,31, DC Breeze,23
3,2014-07-05 20:00:00,, Detroit Mechanix,20, Cincinnati Revolution,24
4,2014-06-29 20:00:00,, Seattle Cascades,26, Vancouver Riptide,28
5,2014-06-29 20:00:00,, DC Breeze,13, New York Empire,21
6,2014-06-28 20:00:00,, Detroit Mechanix,9, Madison Radicals,28
7,2014-06-28 20:00:00,, Cincinnati Revolution,11, Chicago Union,21
8,2014-06-28 20:00:00,, Toronto Rush,29, Rochester Dragons,20
9,2014-06-28 20:00:00,, DC Breeze,29, Montreal Royal,20
0,2021-09-11 19:00:00,Audi Field, Raleigh Flyers,19, New York Empire,16
1,2021-09-10 19:00:00,Audi Field, Raleigh Flyers,21, Chicago Union,20
2,2021-09-10 16:00:00,Audi Field, San Diego Growlers,18, New York Empire,22
3,2021-09-09 19:00:00,Complexe Sportif Claude-Robillard, Toronto Rush,18, Montreal Royal,19
4,2021-09-04 19:45:00,Granite Knolls Park, Atlanta Hustle,21, New York Empire,22
5,2021-09-04 18:00:00,TD Place, Toronto Rush,24, Ottawa Outlaws,22
6,2021-09-03 19:30:00,"Carlini Field, Catholic U", Raleigh Flyers,19, DC Breeze,16
7,2021-08-29 18:00:00,De La Salle Institute, Minnesota Wind Chill,19, Chicago Union,21
8,2021-08-29 14:00:00,Varsity Stadium, Montreal Royal,25, Toronto Rush,18
9,2021-08-29 14:00:00,Campbell Park, DC Breeze,28, Tampa Bay Cannons,16
0,2013-06-23 17:00:00,, New York Empire,18, New Jersey Hammerheads,21
1,2013-06-23 16:00:00,, Indianapolis AlleyCats,29, Minnesota Wind Chill,21
2,2013-06-23 15:30:00,, Chicago Union,20, Cincinnati Revolution,17
3,2013-06-23 15:00:00,, DC Breeze,20, Rochester Dragons,24
4,2013-06-22 21:00:00,, Indianapolis AlleyCats,16, Madison Radicals,20
5,2013-06-22 19:00:00,, Philadelphia Phoenix,22, New York Empire,23
6,2013-06-22 17:00:00,, DC Breeze,16, Toronto Rush,40
7,2013-06-22 17:00:00,, Chicago Union,34, Detroit Mechanix,26
8,2013-06-16 20:30:00,, Madison Radicals,24, Indianapolis AlleyCats,22
9,2013-06-16 17:00:00,, Philadelphia Phoenix,21, New Jersey Hammerheads,17
0,2021-08-07 20:00:00,Mission Bay, LA Aviators,17, San Diego Growlers,24
1,2021-08-07 20:00:00,Seattle Memorial Stadium, San Jose Spiders,23, Seattle Cascades,15
2,2021-08-07 18:00:00,Complexe Sportif Claude-Robillard, Toronto Rush,16, Montreal Royal,18
3,2021-08-06 19:30:00,South Philadelphia Super Site, DC Breeze,20, Philadelphia Phoenix,13
4,2021-08-06 19:00:00,Hormel Stadium, Raleigh Flyers,19, Boston Glory,18
5,2021-08-01 16:00:00,LA Southwest College, Seattle Cascades,15, LA Aviators,20
6,2021-08-01 14:00:00,John Paul II High School, San Jose Spiders,14, Dallas Legion,15
7,2021-07-31 20:00:00,Westlake Chaparral Stadium, San Jose Spiders,15, Austin Sol,25
8,2021-07-31 19:00:00,St Pius HS Field, Pittsburgh Thunderbirds,22, Atlanta Hustle,27
9,2021-07-31 18:05:00,Campbell Park, New York Empire,25, Tampa Bay Cannons,18
0,2019-06-22 17:45:00,Grand Rapids Christian HS, Chicago Union,24, Detroit Mechanix,11
1,2019-06-22 16:00:00,"Carlini Field, Catholic U", Philadelphia Phoenix,18, DC Breeze,21
2,2019-06-16 14:00:00,A.A. Garthwaite Stadium, DC Breeze,21, Philadelphia Phoenix,16
3,2019-06-16 14:00:00,Langhorst Field, Detroit Mechanix,16, Chicago Union,24
4,2019-06-15 22:00:00,Foothill College Stadium, Seattle Cascades,26, San Jose Spiders,25
5,2019-06-15 21:45:00,Mission Bay, LA Aviators,18, San Diego Growlers,17
6,2019-06-15 19:00:00,Durham County Stadium, Dallas Legion,18, Raleigh Flyers,27
7,2019-06-15 19:00:00,Sea Foam Stadium, Madison Radicals,19, Minnesota Wind Chill,21
8,2019-06-15 18:00:00,"Carlini Field, Catholic U", Toronto Rush,22, DC Breeze,23
9,2019-06-15 18:00:00,Joseph F. Fosina Field, Philadelphia Phoenix,14, New York Empire,19
0,2015-06-14 16:00:00,, San Jose Spiders,23, Seattle Cascades,25
1,2015-06-13 21:00:00,, San Jose Spiders,26, Vancouver Riptide,23
2,2015-06-13 19:00:00,, Jacksonville Cannons,18, Charlotte Express,17
3,2015-06-13 19:00:00,, Ottawa Outlaws,33, Montreal Royal,22
4,2015-06-13 18:00:00,, Philadelphia Phoenix,17, Toronto Rush,37
5,2015-06-13 16:00:00,, Pittsburgh Thunderbirds,34, Detroit Mechanix,21
6,2015-06-12 20:00:00,, Madison Radicals,31, Minnesota Wind Chill,19
7,2015-06-12 20:00:00,, Pittsburgh Thunderbirds,16, Chicago Union,19
8,2015-06-07 14:00:00,, Rochester Dragons,18, Ottawa Outlaws,27
9,2015-06-07 13:00:00,, Madison Radicals,27, Detroit Mechanix,13
0,2014-06-28 20:00:00,, Vancouver Riptide,18, San Francisco FlameThrowers,23
1,2014-06-28 20:00:00,, Salt Lake Lions,12, San Jose Spiders,37
2,2014-06-27 20:00:00,, Cincinnati Revolution,15, Indianapolis AlleyCats,29
3,2014-06-27 20:00:00,, Detroit Mechanix,16, Minnesota Wind Chill,42
4,2014-06-22 20:00:00,, New York Empire,25, Rochester Dragons,9
5,2014-06-22 20:00:00,, San Francisco FlameThrowers,33, Salt Lake Lions,25
6,2014-06-22 20:00:00,, San Jose Spiders,22, Seattle Cascades,14
7,2014-06-22 20:00:00,, Philadelphia Phoenix,15, Toronto Rush,29
8,2014-06-21 20:00:00,, New York Empire,18, Toronto Rush,21
9,2014-06-21 20:00:00,, San Jose Spiders,37, Vancouver Riptide,25
0,2013-06-16 16:00:00,, New York Empire,19, DC Breeze,16
1,2013-06-16 15:00:00,, Rochester Dragons,22, Toronto Rush,25
2,2013-06-15 21:00:00,, Minnesota Wind Chill,25, Chicago Union,26
3,2013-06-15 20:30:00,, Madison Radicals,21, Cincinnati Revolution,23
4,2013-06-15 16:30:00,, New York Empire,21, Philadelphia Phoenix,17
5,2013-06-09 20:30:00,, Detroit Mechanix,23, Indianapolis AlleyCats,27
6,2013-06-09 18:00:00,, Philadelphia Phoenix,18, New York Empire,19
7,2013-06-09 15:00:00,, New Jersey Hammerheads,15, Toronto Rush,33
8,2013-06-08 21:00:00,, Detroit Mechanix,9, Chicago Union,21
9,2013-06-08 20:00:00,, New Jersey Hammerheads,20, Rochester Dragons,26
0,2019-06-15 18:00:00,Cégep Garneau (Québec), Ottawa Outlaws,22, Montreal Royal,21
1,2019-06-14 19:45:00,Skyway Field, Dallas Legion,25, Tampa Bay Cannons,20
2,2019-06-02 14:00:00,Varsity Stadium, Montreal Royal,13, Toronto Rush,19
3,2019-06-02 13:00:00,St Pius HS Field, Austin Sol,25, Atlanta Hustle,24
4,2019-06-01 22:30:00,Jerry Chabola Stadium, San Diego Growlers,20, LA Aviators,18
5,2019-06-01 21:30:00,Seattle Memorial Stadium, San Jose Spiders,25, Seattle Cascades,22
6,2019-06-01 19:05:00,Skyway Field, Austin Sol,16, Tampa Bay Cannons,24
7,2019-06-01 19:00:00,Sea Foam Stadium, Chicago Union,26, Minnesota Wind Chill,27
8,2019-06-01 18:00:00,MNP Park Stadium, Montreal Royal,21, Ottawa Outlaws,19
9,2019-06-01 18:00:00,"Carlini Field, Catholic U", New York Empire,20, DC Breeze,19
0,2015-06-06 22:30:00,, San Diego Growlers,20, LA Aviators,19
1,2015-06-06 22:00:00,, San Francisco FlameThrowers,18, San Jose Spiders,17
2,2015-06-06 20:00:00,, Cincinnati Revolution,17, Minnesota Wind Chill,25
3,2015-06-06 19:30:00,, Detroit Mechanix,21, Indianapolis AlleyCats,29
4,2015-06-06 19:00:00,, Madison Radicals,22, Pittsburgh Thunderbirds,26
5,2015-06-06 19:00:00,, Raleigh Flyers,27, Nashville Nightwatch,21
6,2015-06-06 18:30:00,, DC Breeze,26, Philadelphia Phoenix,20
7,2015-06-06 18:00:00,, Charlotte Express,12, Jacksonville Cannons,26
8,2015-06-06 17:00:00,, Toronto Rush,18, New York Empire,16
9,2015-06-06 16:00:00,, Rochester Dragons,19, Montreal Royal,21
0,2014-06-21 20:00:00,, Philadelphia Phoenix,19, Montreal Royal,31
1,2014-06-21 20:00:00,, Chicago Union,19, Minnesota Wind Chill,22
2,2014-06-21 20:00:00,, San Francisco FlameThrowers,31, Salt Lake Lions,22
3,2014-06-21 20:00:00,, Cincinnati Revolution,22, Indianapolis AlleyCats,23
4,2014-06-20 20:00:00,, Chicago Union,19, Madison Radicals,24
5,2014-06-15 20:00:00,, Philadelphia Phoenix,19, Montreal Royal,24
6,2014-06-15 20:00:00,, Seattle Cascades,21, San Jose Spiders,24
7,2014-06-14 20:00:00,, Philadelphia Phoenix,17, Rochester Dragons,16
8,2014-06-14 20:00:00,, Minnesota Wind Chill,15, Madison Radicals,23
9,2014-06-14 20:00:00,, Toronto Rush,31, Montreal Royal,18
0,2021-08-29 12:00:00,Hormel Stadium, New York Empire,18, Boston Glory,17
1,2021-08-28 21:00:00,Mission Bay, Dallas Legion,18, San Diego Growlers,22
2,2021-08-28 18:00:00,Varsity Stadium, Ottawa Outlaws,13, Toronto Rush,23
3,2021-08-22 14:00:00,Sea Foam Stadium, Madison Radicals,15, Minnesota Wind Chill,19
4,2021-08-22 13:00:00,MNP Park Stadium, Montreal Royal,24, Ottawa Outlaws,25
5,2021-08-21 18:30:00,South Philadelphia Super Site, Boston Glory,22, Philadelphia Phoenix,19
6,2021-08-21 18:00:00,Complexe Sportif Claude-Robillard, Toronto Rush,23, Montreal Royal,25
7,2021-08-21 18:00:00,"Carlini Field, Catholic U", Raleigh Flyers,21, DC Breeze,22
8,2021-08-21 18:00:00,South Christian High School, Chicago Union,29, Detroit Mechanix,19
9,2021-08-21 18:00:00,JC Stone Field, Atlanta Hustle,26, Pittsburgh Thunderbirds,25
0,2013-06-08 16:30:00,, DC Breeze,27, Philadelphia Phoenix,31
1,2013-06-07 21:00:00,, Madison Radicals,25, Minnesota Wind Chill,24
2,2013-06-02 20:30:00,, Chicago Union,26, Indianapolis AlleyCats,22
3,2013-06-02 17:00:00,, Cincinnati Revolution,20, Madison Radicals,26
4,2013-06-02 16:00:00,, DC Breeze,13, New York Empire,23
5,2013-06-02 15:00:00,, Philadelphia Phoenix,12, Rochester Dragons,14
6,2013-06-01 21:00:00,, Cincinnati Revolution,9, Minnesota Wind Chill,26
7,2013-06-01 20:00:00,, DC Breeze,22, New Jersey Hammerheads,20
8,2013-06-01 17:00:00,, Philadelphia Phoenix,18, Toronto Rush,28
9,2013-05-26 15:30:00,, Indianapolis AlleyCats,23, Cincinnati Revolution,19
0,2021-06-04 20:00:00,Breese Stevens Field, Minnesota Wind Chill,20, Madison Radicals,18
1,2021-06-04 19:30:00,South Philadelphia Super Site, Tampa Bay Cannons,16, Philadelphia Phoenix,21
2,2021-06-04 19:30:00,Grand Park, Detroit Mechanix,21, Indianapolis AlleyCats,30
3,2021-06-04 19:00:00,Joseph F. Fosina Field, DC Breeze,18, New York Empire,19
4,2019-08-11 15:00:00,Foothill College Stadium, Dallas Legion,22, New York Empire,26
5,2019-08-10 22:00:00,Foothill College Stadium, Dallas Legion,23, San Diego Growlers,18
6,2019-08-10 19:00:00,Foothill College Stadium, Indianapolis AlleyCats,15, New York Empire,17
7,2019-07-27 19:00:00,Grand Park, Pittsburgh Thunderbirds,17, Indianapolis AlleyCats,23
8,2019-07-27 19:00:00,Durham County Stadium, Dallas Legion,21, Raleigh Flyers,17
9,2019-07-21 18:00:00,Joseph F. Fosina Field, Toronto Rush,16, New York Empire,19
0,2019-06-01 17:45:00,Grand Rapids Christian HS, Pittsburgh Thunderbirds,17, Detroit Mechanix,12
1,2019-06-01 15:00:00,Breese Stevens Field, Indianapolis AlleyCats,18, Madison Radicals,15
2,2019-05-26 13:00:00,Bishop Foley Stadium, Madison Radicals,16, Detroit Mechanix,14
3,2019-05-26 13:00:00,"Carlini Field, Catholic U", Montreal Royal,17, DC Breeze,27
4,2019-05-25 20:00:00,John Paul II High School, Austin Sol,15, Dallas Legion,20
5,2019-05-25 19:00:00,St Pius HS Field, Tampa Bay Cannons,14, Atlanta Hustle,23
6,2019-05-25 19:00:00,Langhorst Field, Indianapolis AlleyCats,17, Chicago Union,18
7,2019-05-25 18:00:00,A.A. Garthwaite Stadium, Montreal Royal,25, Philadelphia Phoenix,15
8,2019-05-25 18:00:00,JC Stone Field, Minnesota Wind Chill,17, Pittsburgh Thunderbirds,24
9,2019-05-25 18:00:00,Varsity Stadium, Madison Radicals,15, Toronto Rush,22
0,2015-06-05 20:00:00,, Raleigh Flyers,20, Atlanta Hustle,24
1,2015-06-05 20:00:00,, Cincinnati Revolution,10, Chicago Union,28
2,2015-05-31 16:00:00,, LA Aviators,17, San Francisco FlameThrowers,24
3,2015-05-31 12:00:00,, Philadelphia Phoenix,16, Montreal Royal,25
4,2015-05-30 22:00:00,, LA Aviators,19, San Jose Spiders,27
5,2015-05-30 20:00:00,, Madison Radicals,23, Minnesota Wind Chill,18
6,2015-05-30 19:00:00,, Detroit Mechanix,20, Pittsburgh Thunderbirds,44
7,2015-05-30 18:00:00,, Raleigh Flyers,29, Jacksonville Cannons,27
8,2015-05-30 17:00:00,, Rochester Dragons,16, New York Empire,27
9,2015-05-30 16:00:00,, Philadelphia Phoenix,18, Ottawa Outlaws,28
0,2014-06-14 20:00:00,, New York Empire,26, DC Breeze,31
1,2014-06-14 20:00:00,, Indianapolis AlleyCats,27, Detroit Mechanix,19
2,2014-06-14 20:00:00,, Seattle Cascades,17, San Francisco FlameThrowers,23
3,2014-06-08 20:00:00,, Cincinnati Revolution,15, Madison Radicals,28
4,2014-06-08 20:00:00,, Montreal Royal,24, DC Breeze,25
5,2014-06-08 20:00:00,, Rochester Dragons,18, Toronto Rush,38
6,2014-06-08 20:00:00,, Salt Lake Lions,11, Seattle Cascades,35
7,2014-06-07 20:00:00,, Salt Lake Lions,9, Vancouver Riptide,37
8,2014-06-07 20:00:00,, Detroit Mechanix,13, Chicago Union,26
9,2014-06-07 20:00:00,, Madison Radicals,23, Indianapolis AlleyCats,12
0,2013-05-26 14:00:00,, Rochester Dragons,16, Philadelphia Phoenix,17
1,2013-05-25 20:30:00,, Indianapolis AlleyCats,27, Cincinnati Revolution,21
2,2013-05-25 20:00:00,, Chicago Union,23, Detroit Mechanix,19
3,2013-05-25 20:00:00,, Philadelphia Phoenix,20, New Jersey Hammerheads,15
4,2013-05-25 14:00:00,, Rochester Dragons,16, DC Breeze,14
5,2013-05-24 21:00:00,, Minnesota Wind Chill,23, Madison Radicals,27
6,2013-05-18 21:00:00,, Detroit Mechanix,16, Madison Radicals,26
7,2013-05-18 20:30:00,, Cincinnati Revolution,21, Indianapolis AlleyCats,28
8,2013-05-18 20:00:00,, Toronto Rush,28, Rochester Dragons,21
9,2013-05-18 20:00:00,, New York Empire,24, New Jersey Hammerheads,16
0,2021-07-31 20:00:00,Mission Bay, Seattle Cascades,20, San Diego Growlers,21
1,2021-07-31 19:00:00,Sea Foam Stadium, Indianapolis AlleyCats,16, Minnesota Wind Chill,17
2,2021-07-31 18:00:00,"Carlini Field, Catholic U", Philadelphia Phoenix,12, DC Breeze,22
3,2021-07-31 18:00:00,Grand Rapids Christian HS, Madison Radicals,23, Detroit Mechanix,15
4,2021-07-30 20:00:00,Breese Stevens Field, Chicago Union,23, Madison Radicals,18
5,2021-07-30 19:00:00,Durham County Stadium, Pittsburgh Thunderbirds,17, Raleigh Flyers,20
6,2021-07-25 13:00:00,Complexe Sportif Claude-Robillard, Ottawa Outlaws,26, Montreal Royal,19
7,2021-07-24 21:30:00,Oakland Technical High School, LA Aviators,20, San Jose Spiders,18
8,2021-07-24 20:00:00,Westlake Chaparral Stadium, San Diego Growlers,21, Austin Sol,17
9,2021-07-24 19:00:00,St Pius HS Field, New York Empire,21, Atlanta Hustle,22
0,2019-05-25 16:00:00,Joseph F. Fosina Field, Ottawa Outlaws,15, New York Empire,20
1,2019-05-19 14:00:00,A.A. Garthwaite Stadium, Toronto Rush,16, Philadelphia Phoenix,18
2,2019-05-19 14:00:00,John Paul II High School, Tampa Bay Cannons,21, Dallas Legion,28
3,2019-05-19 13:00:00,Complexe Sportif Claude-Robillard, DC Breeze,20, Montreal Royal,19
4,2019-05-18 20:00:00,Westwood, Tampa Bay Cannons,19, Austin Sol,17
5,2019-05-18 19:00:00,Joseph F. Fosina Field, Toronto Rush,17, New York Empire,22
6,2019-05-18 19:00:00,MNP Park Stadium, DC Breeze,21, Ottawa Outlaws,22
7,2019-05-18 19:00:00,MAC Sports & Entertainment, Atlanta Hustle,22, Raleigh Flyers,25
8,2019-05-18 19:00:00,TCO Stadium, Indianapolis AlleyCats,13, Minnesota Wind Chill,11
9,2019-05-18 19:00:00,Langhorst Field, Madison Radicals,25, Chicago Union,22
0,2015-05-29 20:00:00,, Charlotte Express,18, Atlanta Hustle,26
1,2015-05-24 19:00:00,, San Jose Spiders,24, Vancouver Riptide,31
2,2015-05-24 16:30:00,, San Francisco FlameThrowers,22, LA Aviators,23
3,2015-05-24 15:00:00,, DC Breeze,26, Rochester Dragons,25
4,2015-05-24 14:00:00,, New York Empire,22, Ottawa Outlaws,17
